,,"Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at age 60 (years)","Healthy life expectancy (HALE) at age 60 (years)","Healthy life expectancy (HALE) at age 60 (years)"
"Country","Year","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Equatorial Guinea","2000","54.3","52.4","56.5","15.5","14.0","17.1","46.8","45.8","47.9","11.2","10.2","12.2"
"Eritrea","2019","64.1","61.3","67.1","15.5","14.1","16.8","55.7","53.9","57.7","11.4","10.4","12.4"
"Eritrea","2015","62.3","59.4","65.4","15.1","13.6","16.6","54.1","52.2","56.2","11.1","10.0","12.2"
"Eritrea","2010","60.7","57.8","64.0","14.5","12.9","16.2","52.6","50.7","54.8","10.7","9.5","11.9"
"Eritrea","2000","54.5","51.2","58.5","13.5","11.7","15.6","47.0","44.6","49.9","9.9","8.6","11.3"
"Estonia","2019","78.9","74.7","82.6","22.5","19.3","25.0","69.2","66.4","71.7","17.3","14.8","19.1"
"Estonia","2015","77.6","73.0","81.7","21.9","18.6","24.3","68.3","65.0","71.1","16.8","14.3","18.7"
"Estonia","2010","75.9","70.9","80.4","20.8","17.3","23.2","66.9","63.3","70.2","16.0","13.4","17.9"
"Estonia","2000","70.9","65.6","76.2","18.6","15.4","20.9","62.6","58.5","66.5","14.3","11.8","16.1"
"Eswatini","2019","57.7","53.4","63.2","15.1","12.4","17.7","50.1","47.1","53.8","11.0","9.0","12.9"
"Eswatini","2015","54.0","50.3","58.7","14.6","11.9","17.1","46.9","44.3","50.2","10.6","8.7","12.4"
"Eswatini","2010","47.4","44.9","50.8","13.3","10.8","15.7","41.4","39.8","43.6","9.7","7.9","11.4"
"Eswatini","2000","47.0","44.8","49.4","13.6","11.2","15.9","41.3","39.9","42.8","9.9","8.2","11.6"
"Ethiopia","2019","68.7","66.9","70.5","18.4","17.4","19.4","59.9","59.0","60.8","13.9","13.3","14.4"
"Ethiopia","2015","66.8","65.0","68.6","18.1","17.0","19.1","58.3","57.4","59.3","13.6","13.0","14.2"
"Ethiopia","2010","62.9","61.3","64.5","17.3","16.3","18.3","55.0","54.2","55.8","13.0","12.5","13.5"
"Ethiopia","2000","50.6","49.5","51.7","14.1","13.4","14.9","44.3","43.9","44.8","10.6","10.2","11.0"
"Fiji","2019","68.0","65.9","70.3","16.2","14.9","17.5","59.6","58.5","60.7","11.8","11.1","12.6"
"Fiji","2015","67.8","65.8","70.1","16.0","14.8","17.2","59.6","58.6","60.7","11.7","11.0","12.5"
"Fiji","2010","67.6","65.9","69.5","15.8","14.8","16.8","59.5","58.8","60.2","11.6","11.1","12.2"
"Fiji","2000","65.9","63.7","68.4","14.7","13.3","16.3","58.1","56.9","59.5","10.9","10.1","11.8"
"Finland","2019","81.6","79.2","84.0","24.2","22.4","25.8","71.0","69.9","72.0","18.5","17.3","19.5"
"Finland","2015","81.2","78.5","83.9","23.9","21.9","25.7","70.7","69.4","72.0","18.3","17.0","19.4"
"Finland","2010","79.9","76.7","83.0","23.3","21.0","25.3","69.6","67.9","71.2","17.8","16.3","19.1"
"Finland","2000","77.6","74.1","80.9","21.6","19.2","23.6","67.8","65.8","69.6","16.5","14.9","17.9"
"France","2019","82.5","79.8","85.1","25.3","23.3","27.2","72.1","71.1","73.1","19.7","18.5","20.8"
"France","2015","81.9","79.0","84.7","25.0","22.9","26.9","71.7","70.5","72.9","19.5","18.2","20.7"
"France","2010","81.2","78.0","84.3","24.7","22.3","26.8","71.2","69.7","72.5","19.3","17.9","20.6"
"France","2000","78.9","75.2","82.5","23.0","20.4","25.3","69.3","67.4","71.1","18.0","16.3","19.5"
"Gabon","2019","66.5","63.6","69.7","17.2","15.2","19.3","57.6","56.0","59.3","12.8","11.4","14.2"
"Gabon","2015","64.9","62.1","68.1","16.9","14.9","19.0","56.3","54.8","58.0","12.6","11.2","14.0"
"Gabon","2010","62.2","60.1","64.3","16.4","14.4","18.2","54.0","53.1","54.9","12.2","10.8","13.4"
"Gabon","2000","58.1","56.1","60.1","15.2","13.4","17.0","50.5","49.6","51.4","11.3","10.1","12.5"
"Gambia","2019","65.5","63.4","67.7","16.9","15.8","18.0","57.0","56.4","57.7","12.6","12.1","13.2"
"Gambia","2015","64.1","62.2","66.3","16.7","15.6","17.9","55.8","55.3","56.5","12.5","11.9","13.0"
"Gambia","2010","62.4","60.6","64.5","16.5","15.3","17.7","54.4","53.9","55.0","12.3","11.7","12.9"
"Gambia","2000","59.2","57.2","61.6","16.2","14.9","17.7","51.7","51.0","52.5","12.2","11.6","13.0"
"Georgia","2019","73.3","68.8","77.8","18.8","16.0","21.0","64.7","61.4","67.9","14.4","12.4","16.1"
"Georgia","2015","72.6","68.2","76.9","18.4","16.0","20.5","64.2","61.1","67.3","14.2","12.4","15.7"
"Georgia","2010","71.9","67.4","76.3","18.2","15.9","20.1","63.7","60.5","66.9","14.1","12.5","15.5"
"Georgia","2000","69.4","65.6","73.1","17.0","15.2","18.4","61.9","59.2","64.6","13.4","12.1","14.4"
"Germany","2019","81.7","78.7","84.8","24.4","21.9","26.9","70.9","69.7","72.1","18.5","17.0","19.9"
"Germany","2015","80.4","78.1","82.7","23.2","21.5","24.8","70.1","69.3","70.8","17.7","16.7","18.7"
"Germany","2010","80.2","77.8","82.5","23.2","21.4","24.8","70.0","69.1","70.9","17.8","16.7","18.8"
"Germany","2000","78.1","75.0","80.9","21.8","19.5","23.6","68.5","67.0","69.8","16.8","15.3","18.0"
"Ghana","2019","66.3","63.7","69.2","17.2","15.7","18.9","58.0","56.5","59.6","12.9","11.9","14.0"
"Ghana","2015","64.5","62.0","67.4","16.8","15.1","18.6","56.5","55.1","58.0","12.6","11.5","13.7"
"Ghana","2010","62.0","59.7","64.5","16.2","14.6","17.9","54.3","53.2","55.6","12.1","11.1","13.2"
"Ghana","2000","59.2","57.7","60.8","16.0","14.8","17.3","51.9","51.4","52.5","12.0","11.3","12.8"
"Greece","2019","81.1","78.6","83.6","23.8","22.1","25.5","70.9","69.9","71.9","18.4","17.3","19.5"
"Greece","2015","80.4","77.8","82.9","23.5","21.7","25.1","70.4","69.3","71.6","18.2","17.1","19.3"
"Greece","2010","80.1","77.5","82.7","23.3","21.7","24.8","70.0","68.9","71.2","18.1","17.0","19.0"
"Greece","2000","78.2","75.5","80.9","21.5","19.9","23.1","68.6","67.5","69.8","16.8","15.7","17.7"
"Grenada","2019","72.9","70.6","75.3","18.7","17.2","20.3","63.9","62.6","65.4","14.3","13.1","15.6"
"Grenada","2015","72.7","70.4","75.1","18.9","17.3","20.4","63.9","62.5","65.3","14.5","13.3","15.7"
"Grenada","2010","72.0","69.2","75.5","17.7","15.6","20.5","63.5","61.8","65.7","13.7","12.1","15.8"
"Grenada","2000","72.0","68.6","76.0","17.9","15.1","21.0","63.6","61.5","66.1","13.9","11.9","16.2"
"Guatemala","2019","72.0","69.0","75.0","20.5","19.4","21.4","62.3","60.5","64.1","15.0","14.4","15.5"
"Guatemala","2015","70.9","67.8","74.0","19.9","18.8","20.8","61.5","59.6","63.4","14.6","14.1","15.1"
"Guatemala","2010","69.3","65.8","72.8","19.6","18.6","20.5","60.1","57.8","62.3","14.4","13.9","14.9"
"Guatemala","2000","66.8","63.3","70.3","19.1","18.1","20.1","57.8","55.6","60.1","14.1","13.6","14.6"
"Guinea","2019","61.0","59.5","62.3","16.5","15.6","17.2","53.3","52.9","53.7","12.3","11.8","12.6"
"Guinea","2015","58.8","57.3","60.1","15.9","14.8","16.6","51.5","51.1","51.9","11.9","11.3","12.2"
"Guinea","2010","58.1","56.6","59.3","15.8","14.7","16.6","50.9","50.5","51.2","11.8","11.2","12.2"
"Guinea","2000","54.3","53.1","55.3","15.7","15.0","16.3","47.5","47.3","47.8","11.7","11.4","12.0"
"Guinea-Bissau","2019","60.2","57.4","63.0","15.5","13.9","16.7","52.6","51.1","54.1","11.4","10.5","12.1"
"Guinea-Bissau","2015","58.2","55.5","60.8","15.0","13.4","16.3","50.9","49.5","52.3","11.0","10.0","11.8"
"Guinea-Bissau","2010","55.4","53.0","57.7","14.6","12.9","16.0","48.6","47.3","49.7","10.7","9.7","11.5"
"Guinea-Bissau","2000","50.3","47.8","52.8","13.8","12.1","15.4","44.0","42.6","45.5","10.1","9.1","11.1"
"Guyana","2019","65.7","62.5","69.4","16.6","15.1","18.1","57.2","55.1","59.7","12.5","11.5","13.6"
"Guyana","2015","65.6","62.3","69.2","16.6","15.2","18.0","57.2","55.0","59.6","12.6","11.6","13.6"
"Guyana","2010","64.8","61.6","68.2","16.2","14.8","17.6","56.6","54.5","58.9","12.3","11.3","13.2"
"Guyana","2000","63.0","59.8","66.5","15.9","14.6","17.3","55.0","52.9","57.3","12.1","11.2","13.0"
"Haiti","2019","64.1","63.3","64.8","16.8","16.5","17.0","55.8","55.9","55.8","12.8","12.7","12.9"
"Haiti","2015","62.6","62.1","63.1","16.5","16.3","16.7","54.6","54.8","54.4","12.6","12.6","12.6"
"Haiti","2010","31.3","28.0","35.4","11.5","10.9","12.0","28.0","25.4","31.2","8.8","8.5","9.2"
"Haiti","2000","57.0","57.0","57.2","15.8","15.6","15.9","50.0","50.5","49.6","12.1","12.1","12.2"
"Honduras","2019","71.9","70.7","73.2","18.3","17.5","19.1","63.0","62.7","63.3","13.8","13.4","14.2"
"Honduras","2015","69.8","67.6","72.1","17.9","17.0","18.6","61.3","60.1","62.6","13.5","13.1","14.0"
"Honduras","2010","71.1","70.2","72.1","18.9","18.7","19.1","62.3","62.2","62.5","14.3","14.3","14.3"
"Honduras","2000","70.0","69.1","71.0","19.6","19.6","19.6","61.2","61.1","61.4","14.7","15.0","14.6"
"Hungary","2019","76.4","73.1","79.6","20.2","17.7","22.3","67.2","65.0","69.3","15.3","13.4","16.8"
"Hungary","2015","75.6","72.2","78.7","19.9","17.4","21.9","66.6","64.3","68.7","15.1","13.3","16.6"
"Hungary","2010","74.6","70.6","78.4","19.7","17.0","21.8","65.8","63.0","68.4","14.9","12.9","16.6"
"Hungary","2000","71.3","67.1","75.6","18.0","15.3","20.1","63.0","60.0","66.1","13.6","11.6","15.2"
"Iceland","2019","82.3","80.8","83.9","24.6","23.7","25.5","72.0","71.7","72.3","19.0","18.6","19.4"
"Iceland","2015","82.1","80.7","83.6","24.4","23.5","25.3","71.9","71.7","72.1","18.9","18.4","19.3"
"Iceland","2010","81.7","80.0","83.3","23.9","22.7","25.0","71.4","71.1","71.8","18.4","17.8","18.9"
"Iceland","2000","79.7","77.7","81.6","22.6","21.2","24.0","69.8","69.3","70.3","17.4","16.7","18.1"
"India","2019","70.8","69.5","72.2","18.8","18.1","19.5","60.3","60.3","60.4","13.2","13.0","13.5"
"India","2015","69.3","68.1","70.6","18.5","17.7","19.3","59.1","59.1","59.2","13.1","12.8","13.3"
"India","2010","67.2","65.7","68.9","18.0","16.9","19.0","57.3","57.0","57.6","12.6","12.1","13.0"
"India","2000","62.1","61.3","62.9","16.1","15.4","16.8","52.9","53.2","52.7","11.3","11.1","11.6"
"Indonesia","2019","71.3","69.4","73.3","17.9","16.7","19.1","62.8","61.9","63.8","13.4","12.7","14.0"
"Indonesia","2015","70.6","68.8","72.5","17.7","16.5","18.8","62.3","61.5","63.2","13.2","12.5","13.8"
"Indonesia","2010","69.3","67.5","71.0","17.5","16.4","18.4","61.2","60.4","62.0","13.0","12.5","13.5"
"Indonesia","2000","67.2","65.8","68.6","17.6","16.8","18.2","59.0","58.5","59.6","13.0","12.7","13.2"
"Iran (Islamic Republic of)","2019","77.3","75.7","79.1","21.8","21.2","22.5","66.3","66.0","66.5","15.7","15.6","15.8"
"Iran (Islamic Republic of)","2015","76.7","75.0","78.5","21.6","20.9","22.3","65.7","65.3","66.0","15.5","15.3","15.6"
"Iran (Islamic Republic of)","2010","75.9","73.9","78.0","21.4","20.6","22.3","65.0","64.5","65.6","15.4","15.2","15.6"
"Iran (Islamic Republic of)","2000","72.6","70.7","74.6","19.7","19.0","20.5","62.6","62.1","63.1","14.3","14.1","14.5"
"Iraq","2019","72.4","69.9","75.0","19.2","17.6","20.7","62.7","61.6","63.7","14.2","13.3","15.0"
"Iraq","2015","70.3","67.3","73.4","19.2","17.9","20.5","60.8","59.3","62.4","14.2","13.5","14.9"
"Iraq","2010","70.2","67.8","72.8","18.8","17.5","20.0","60.9","59.8","62.0","13.9","13.2","14.5"
"Iraq","2000","68.8","66.4","71.3","18.3","17.0","19.6","59.5","58.5","60.6","13.5","12.8","14.1"
"Ireland","2019","81.8","80.2","83.5","24.2","23.0","25.3","71.1","70.7","71.4","18.6","18.0","19.2"
"Ireland","2015","81.1","79.3","82.9","23.7","22.3","24.9","70.7","70.2","71.2","18.3","17.5","19.0"
"Ireland","2010","80.4","78.3","82.4","23.2","21.7","24.6","70.1","69.3","70.7","17.9","17.1","18.7"
"Ireland","2000","76.4","73.8","79.0","20.2","18.3","21.9","67.1","65.9","68.3","15.7","14.6","16.8"
"Israel","2019","82.6","80.8","84.4","24.9","23.6","26.0","72.4","72.0","72.7","19.3","18.7","19.9"
"Israel","2015","81.9","80.0","83.8","24.3","22.9","25.6","71.8","71.3","72.3","18.8","18.1","19.5"
"Israel","2010","81.6","79.6","83.3","24.2","22.8","25.3","71.4","70.9","71.8","18.6","17.9","19.2"
"Israel","2000","78.6","76.4","80.7","21.9","20.6","23.1","69.2","68.4","69.9","17.1","16.4","17.7"
"Italy","2019","83.0","80.9","84.9","25.0","23.4","26.5","71.9","71.2","72.6","18.9","17.9","19.8"
"Italy","2015","82.2","80.0","84.3","24.5","22.7","26.0","71.6","70.7","72.4","18.6","17.5","19.6"
"Italy","2010","81.9","79.4","84.2","24.4","22.4","26.1","71.1","70.0","72.2","18.4","17.1","19.6"
"Italy","2000","79.4","76.4","82.1","22.5","20.3","24.5","69.0","67.6","70.4","17.1","15.6","18.4"
"Jamaica","2019","76.0","74.4","77.7","21.3","20.1","22.6","66.6","65.9","67.3","16.4","15.5","17.3"
"Jamaica","2015","75.9","74.1","77.7","21.4","19.9","23.0","66.6","65.9","67.4","16.5","15.5","17.6"
"Jamaica","2010","75.8","73.3","78.5","21.6","19.7","23.8","66.6","65.3","68.0","16.7","15.3","18.2"
"Jamaica","2000","74.2","72.0","76.5","21.0","19.7","22.3","65.4","64.3","66.6","16.3","15.4","17.2"
"Japan","2019","84.3","81.5","86.9","26.3","23.9","28.6","74.1","72.6","75.5","20.4","18.8","21.8"
"Japan","2015","83.6","80.7","86.4","25.9","23.4","28.1","73.6","72.0","75.1","20.0","18.4","21.5"
"Japan","2010","82.7","79.5","85.8","25.3","22.6","27.7","73.0","71.1","74.7","19.7","17.8","21.3"
"Japan","2000","81.1","77.7","84.4","24.1","21.3","26.6","71.6","69.5","73.5","18.7","16.7","20.5"
"Jordan","2019","77.9","77.0","78.8","21.8","21.6","22.1","67.6","68.1","67.2","16.2","16.3","16.2"
"Jordan","2015","77.8","77.0","78.8","21.8","21.5","22.1","67.6","68.0","67.2","16.2","16.3","16.1"
"Jordan","2010","76.6","75.6","77.6","21.0","20.5","21.4","66.7","67.1","66.2","15.6","15.7","15.6"
"Jordan","2000","72.6","73.1","72.5","18.6","19.5","17.9","63.6","65.0","62.3","13.9","14.9","13.1"
"Kazakhstan","2019","74.0","70.0","77.6","19.5","16.8","21.4","65.0","62.4","67.4","14.8","13.0","16.2"
"Kazakhstan","2015","71.9","67.4","76.2","18.6","15.9","20.6","63.4","60.3","66.3","14.2","12.3","15.6"
"Kazakhstan","2010","68.4","63.6","73.4","17.2","14.6","19.2","60.4","57.0","64.0","13.1","11.3","14.5"
"Kazakhstan","2000","63.1","57.6","69.2","15.3","12.3","17.8","56.1","52.0","60.5","11.8","9.7","13.5"
"Kenya","2019","66.1","63.7","68.4","17.6","16.0","19.1","57.7","56.4","58.9","13.1","11.9","14.0"
"Kenya","2015","64.2","61.7","66.6","17.3","15.6","18.8","56.1","54.8","57.4","12.8","11.7","13.8"
"Kenya","2010","61.2","59.2","63.1","16.8","14.9","18.5","53.5","52.6","54.4","12.4","11.1","13.5"
"Kenya","2000","53.9","52.8","54.9","16.3","14.5","18.1","46.9","46.6","47.2","11.8","10.7","13.0"
"Kiribati","2019","59.4","56.1","62.8","13.7","12.5","14.6","52.6","50.5","54.9","10.3","9.5","11.0"
"Kiribati","2015","58.2","55.1","61.4","13.5","12.3","14.4","51.6","49.6","53.7","10.2","9.4","10.8"
"Kiribati","2010","58.0","54.8","61.4","13.2","12.0","14.2","51.5","49.3","53.8","10.0","9.2","10.7"
"Kiribati","2000","55.7","52.3","59.4","12.6","11.3","13.7","49.6","47.1","52.2","9.6","8.7","10.4"
"Kuwait","2019","81.0","79.3","83.9","24.0","22.8","25.9","70.1","69.5","71.1","17.8","17.1","18.9"
"Kuwait","2015","81.1","79.5","83.8","24.2","23.2","25.9","70.2","69.7","71.0","18.0","17.4","18.9"
"Kuwait","2010","79.8","78.8","81.4","23.2","22.7","24.0","69.2","69.2","69.2","17.2","17.0","17.6"
"Kuwait","2000","77.9","76.4","80.1","22.2","21.2","23.5","67.7","67.4","68.0","16.5","16.0","17.1"
"Kyrgyzstan","2019","74.2","70.7","77.3","20.0","17.8","21.7","65.8","63.6","67.7","15.7","14.2","16.8"
"Kyrgyzstan","2015","71.6","67.9","75.3","18.4","16.3","20.2","63.7","61.3","66.2","14.5","13.0","15.8"
"Kyrgyzstan","2010","69.2","65.2","73.3","17.6","15.5","19.3","61.6","58.9","64.5","13.8","12.4","15.1"
"Kyrgyzstan","2000","66.0","61.9","70.2","16.7","14.9","18.3","58.7","55.8","61.7","13.1","11.8","14.1"
"Lao People's Democratic Republic","2019","68.5","66.2","70.9","17.6","16.3","18.9","60.5","59.2","61.9","13.3","12.5","14.0"
"Lao People's Democratic Republic","2015","67.1","64.7","69.6","17.5","16.2","18.7","59.3","57.9","60.7","13.2","12.4","13.9"
"Lao People's Democratic Republic","2010","64.9","62.4","67.4","16.9","15.5","18.1","57.4","56.0","58.9","12.8","11.9","13.5"
"Lao People's Democratic Republic","2000","58.4","56.3","60.6","15.3","14.0","16.5","51.8","50.5","53.1","11.6","10.8","12.3"
"Latvia","2019","75.4","70.6","79.8","20.5","17.2","23.0","66.2","62.9","69.3","15.6","13.2","17.4"
"Latvia","2015","74.8","69.9","79.3","20.4","17.1","22.7","65.8","62.3","68.9","15.5","13.1","17.2"
"Latvia","2010","72.9","67.8","77.8","19.2","15.8","21.7","64.3","60.5","67.7","14.7","12.1","16.6"
"Latvia","2000","70.2","64.6","75.6","18.3","15.1","20.6","61.6","57.4","65.6","13.9","11.4","15.6"
"Lebanon","2019","76.4","74.0","79.2","20.5","18.8","22.4","66.0","65.1","67.0","15.0","13.9","16.2"
"Lebanon","2015","76.0","73.5","78.8","20.1","18.3","22.1","65.7","64.7","66.8","14.8","13.7","16.0"
"Lebanon","2010","75.5","73.3","78.1","19.9","18.3","21.7","65.4","64.6","66.3","14.8","13.8","15.8"
"Lebanon","2000","74.6","73.0","76.1","19.8","18.9","20.7","64.7","64.4","64.9","14.9","14.4","15.3"
"Lesotho","2019","50.7","47.7","54.2","13.4","11.2","15.2","44.2","42.3","46.4","9.8","8.3","11.0"
"Lesotho","2015","47.7","45.1","50.6","12.7","10.7","14.4","41.6","40.1","43.4","9.3","7.9","10.5"
"Lesotho","2010","47.4","44.5","50.7","12.8","10.6","14.7","41.5","39.6","43.6","9.4","7.8","10.7"
"Lesotho","2000","47.8","45.5","50.7","13.9","11.0","16.7","42.0","40.7","43.7","10.3","8.2","12.2"
"Liberia","2019","64.1","63.2","65.0","17.7","17.4","18.0","54.9","54.9","55.0","12.9","12.8","12.9"
"Liberia","2015","61.2","60.6","61.7","17.1","16.8","17.3","52.5","52.7","52.2","12.3","12.4","12.3"
"Liberia","2010","60.7","60.1","61.3","16.7","16.3","17.0","52.1","52.3","51.8","12.1","12.1","12.2"
"Liberia","2000","53.8","52.9","54.7","15.8","15.3","16.2","45.8","45.7","46.0","11.4","11.3","11.5"
"Libya","2019","75.8","74.2","77.3","21.3","20.5","21.9","65.2","64.9","65.5","15.5","15.3","15.8"
"Libya","2015","74.6","72.4","76.9","21.3","20.7","21.9","64.3","63.5","65.2","15.6","15.4","15.8"
"Libya","2010","76.0","74.8","77.3","21.5","21.0","22.0","65.7","65.6","65.7","15.8","15.7","16.0"
"Libya","2000","74.4","72.7","76.3","21.0","20.0","22.0","64.6","64.2","65.0","15.6","15.1","16.0"
"Lithuania","2019","76.0","71.2","80.4","20.9","17.6","23.5","66.7","63.4","69.7","15.9","13.4","17.8"
"Lithuania","2015","74.4","69.1","79.5","20.3","16.9","22.9","65.3","61.6","68.8","15.4","12.8","17.3"
"Lithuania","2010","73.1","67.5","78.7","19.9","16.4","22.5","64.3","60.2","68.2","15.1","12.4","17.1"
"Lithuania","2000","72.0","66.7","77.2","19.5","16.4","21.7","63.1","59.2","66.9","14.7","12.4","16.4"
"Luxembourg","2019","82.4","80.6","84.2","24.4","22.9","25.8","71.6","71.1","72.0","18.5","17.7","19.3"
"Luxembourg","2015","82.3","80.3","84.3","24.4","22.8","25.9","71.5","70.9","72.1","18.6","17.6","19.5"
"Luxembourg","2010","80.9","78.6","83.1","23.5","21.6","25.1","70.5","69.6","71.3","18.0","16.8","19.0"
"Luxembourg","2000","78.2","75.1","81.1","21.8","19.4","23.7","68.3","66.8","69.7","16.7","15.2","18.0"
"Madagascar","2019","65.3","64.1","66.6","16.8","16.1","17.3","57.3","56.9","57.7","12.6","12.3","12.9"
"Madagascar","2015","64.2","62.9","65.5","16.5","15.8","17.2","56.3","55.8","56.8","12.4","12.1","12.8"
"Madagascar","2010","62.8","61.4","64.2","16.1","15.3","16.9","55.1","54.5","55.6","12.1","11.7","12.6"
"Madagascar","2000","58.8","57.5","60.2","15.4","14.6","16.2","51.3","50.7","52.0","11.5","11.1","12.0"
"Malawi","2019","65.6","62.3","68.9","17.2","15.1","19.0","57.1","55.1","59.0","12.8","11.3","14.0"
"Malawi","2015","63.0","59.7","66.5","16.9","14.6","18.8","54.9","52.8","57.0","12.5","10.9","13.9"
"Malawi","2010","56.8","54.4","59.2","16.0","13.7","18.0","49.6","48.3","50.9","11.8","10.2","13.2"
"Malawi","2000","44.7","44.0","45.6","14.0","12.2","15.8","39.1","38.9","39.3","10.3","9.1","11.5"
"Malaysia","2019","74.7","72.6","77.1","19.5","18.5","20.6","65.7","64.5","66.9","14.6","14.0","15.3"
"Malaysia","2015","75.0","73.0","77.1","19.9","19.1","20.7","65.8","64.7","67.0","14.8","14.4","15.4"
"Malaysia","2010","74.3","72.2","76.5","19.2","18.3","20.1","65.4","64.3","66.6","14.4","13.9","15.0"
"Malaysia","2000","72.8","70.6","75.3","18.1","17.0","19.2","64.0","62.6","65.5","13.5","12.8","14.2"
"Maldives","2019","79.6","78.6","80.8","22.1","21.4","23.1","70.0","69.7","70.0","16.8","16.4","17.2"
"Maldives","2015","78.4","77.6","79.5","21.3","20.8","21.9","69.1","69.0","69.1","16.2","16.0","16.5"
"Maldives","2010","77.0","76.0","78.2","20.3","19.7","21.0","68.0","67.8","68.1","15.5","15.3","15.8"
"Maldives","2000","71.0","70.4","71.5","18.0","18.1","17.8","62.4","62.4","62.3","13.7","13.9","13.4"
"Mali","2019","62.8","62.2","63.4","17.5","17.3","17.6","54.6","54.8","54.5","12.8","12.9","12.7"
"Mali","2015","60.9","60.4","61.4","17.1","16.9","17.2","53.0","53.3","52.7","12.5","12.6","12.4"
"Mali","2010","59.0","58.6","59.5","16.8","16.7","17.0","51.3","51.6","51.1","12.3","12.3","12.3"
"Mali","2000","52.6","52.6","52.7","16.0","16.2","15.9","45.6","46.0","45.3","11.7","11.9","11.5"
"Malta","2019","81.9","79.9","83.8","24.5","23.0","25.9","71.5","70.9","71.9","18.9","18.0","19.6"
"Malta","2015","81.6","79.6","83.6","24.2","22.7","25.6","71.3","70.7","71.8","18.7","17.8","19.5"
"Malta","2010","80.4","78.2","82.5","23.2","21.5","24.7","70.4","69.6","71.1","18.0","16.9","18.9"
"Malta","2000","77.9","75.5","80.1","20.8","19.0","22.4","68.5","67.6","69.4","16.2","15.1","17.2"
"Mauritania","2019","68.4","68.1","68.7","19.0","19.1","18.9","59.8","60.2","59.4","14.3","14.6","14.1"
"Mauritania","2015","67.4","67.2","67.7","18.8","19.0","18.7","58.9","59.4","58.6","14.2","14.5","13.9"
"Mauritania","2010","65.6","65.4","65.9","18.5","18.7","18.3","57.4","57.9","57.1","13.9","14.3","13.6"
"Mauritania","2000","62.0","61.8","62.2","17.1","17.2","17.0","54.4","54.8","54.0","12.8","13.1","12.6"
"Mauritius","2019","74.1","71.0","77.3","20.3","18.5","22.0","63.9","62.0","65.9","14.5","13.3","15.6"
"Mauritius","2015","74.1","71.0","77.4","20.2","18.2","21.9","64.0","62.0","66.1","14.4","13.2","15.5"
"Mauritius","2010","73.2","69.8","76.8","19.4","17.4","21.2","63.4","61.3","65.6","13.9","12.6","15.1"
"Mauritius","2000","71.2","67.7","74.8","17.8","15.8","19.7","61.9","59.8","64.2","12.9","11.6","14.1"
"Mexico","2019","76.0","73.1","78.9","21.8","20.5","23.1","65.8","64.3","67.2","16.1","15.3","16.8"
"Mexico","2015","75.9","73.1","78.6","21.7","20.4","22.9","65.8","64.3","67.2","16.1","15.3","16.8"
"Mexico","2010","75.1","72.2","78.0","21.5","20.3","22.7","65.1","63.6","66.6","15.9","15.2","16.6"
"Mexico","2000","74.4","71.7","77.1","21.6","20.3","22.7","64.6","63.3","65.8","15.8","15.2","16.4"
"Micronesia (Federated States of)","2019","63.0","60.3","66.0","14.7","13.8","15.6","56.0","54.4","57.8","11.1","10.7","11.6"
"Micronesia (Federated States of)","2015","62.7","60.1","65.7","14.8","14.0","15.6","55.8","54.3","57.5","11.2","10.8","11.7"
"Micronesia (Federated States of)","2010","62.7","60.0","65.6","14.9","14.1","15.6","55.8","54.2","57.5","11.3","10.9","11.7"
"Micronesia (Federated States of)","2000","61.2","58.5","64.2","14.6","13.7","15.5","54.5","52.9","56.3","11.2","10.8","11.6"
"Mongolia","2019","68.1","63.8","72.8","16.4","14.2","18.5","60.3","57.1","63.8","12.6","11.0","14.2"
"Mongolia","2015","67.6","63.4","72.1","16.5","14.5","18.4","59.9","56.7","63.2","12.6","11.2","14.0"
"Mongolia","2010","65.1","61.1","69.5","15.1","13.3","16.9","57.8","54.8","61.1","11.6","10.3","12.9"
"Mongolia","2000","60.5","57.3","64.1","13.4","12.0","14.9","53.8","51.5","56.4","10.3","9.3","11.4"
"Montenegro","2019","75.9","73.2","78.7","19.4","17.4","21.3","67.0","65.2","68.7","14.9","13.5","16.3"
"Montenegro","2015","75.3","72.8","77.7","19.0","17.2","20.6","66.6","65.1","68.2","14.7","13.4","15.9"
"Montenegro","2010","74.7","72.3","77.1","19.0","17.5","20.3","66.2","64.6","67.8","14.7","13.5","15.7"
"Montenegro","2000","73.6","70.9","76.3","19.2","17.7","20.6","65.2","63.3","67.0","14.9","13.7","16.0"
"Morocco","2019","73.0","71.7","74.3","18.7","17.7","19.6","63.7","63.7","63.7","14.1","13.7","14.6"
"Morocco","2015","72.5","71.4","73.6","18.5","17.9","19.2","63.3","63.5","63.1","14.1","13.8","14.3"
"Morocco","2010","71.6","71.1","72.3","18.7","18.9","18.8","62.5","63.1","62.1","14.2","14.5","14.0"
"Morocco","2000","69.3","68.1","70.6","18.4","17.8","18.9","60.7","60.7","60.7","14.1","13.9","14.2"
